Countrycode,Latitude,Longitude,Totalmentions,Countryname,Region,Continent
COM, -12.1667, 44.25, 1216, Comoros, Eastern Africa, Africa
ZAF, -29, 24, 567, South Africa, Southern Africa, Africa
LBN, 33.8333, 35.8333, 2510, Lebanon, Middle East, Asia
SLE, 8.5, -11.5, 1697, Sierra Leone, Western Africa, Africa
KOR, 37, 127.5, 291, South Korea, Eastern Asia, Asia
BIH, 44, 18, 619, Bosnia and Herzegovina, Southern Europe, Europe
TON, -20, -175, 380, Tonga, Polynesia, Oceania
EU, European Union, Western Europe
HRV, 45.1667, 15.5, 1132, Croatia, Southern Europe, Europe
NRU, -0.5333, 166.9167, 426, Nauru, Micronesia, Oceania
TUV, -8, 178, 489, Tuvalu, Polynesia, Oceania
NAM, -22, 17, 963, Namibia, Southern Africa, Africa
SMR, 43.7667, 12.4167, 384, San Marino, Southern Europe, Europe
LIE, 47.1667, 9.5333, 248, Liechtenstein, Western Europe, Europe
MKD, 41.8333, 22, 596, Macedonia, Southern Europe, Europe
TLS, -8.55, 125.5167, 358, East Timor, Southeast Asia, Asia
FSM, 6.9167, 158.25, 296, Micronesia Federated States of, Micronesia, Oceania
KIR, 1.4167, 173, 177, Kiribati, Micronesia, Oceania
BTN, 27.5, 90.5, 863, Bhutan, Southern and Central Asia, Asia
SVK, 48.6667, 19.5, 601, Slovakia, Eastern Europe, Europe
WSM, -13.5833, -172.3333, 831, Samoa, Polynesia, Oceania
MNE, 42, 19, 232, Montenegro, Eastern Europe, Europe
GEO, 42, 43.5, 940, Georgia, Middle East, Asia
LTU, 56, 24, 511, Lithuania, Baltic Countries, Europe
AND, 42.5, 1.6, 442, Andorra, Southern Europe, Europe
TJK, 39, 71, 778, Tajikistan, Southern and Central Asia, Asia
MHL, 9, 168, 509, Marshall Islands, Micronesia, Oceania
EST, 59, 26, 633, Estonia, Baltic Countries, Europe
LVA, 57, 25, 971, Latvia, Baltic Countries, Europe
CAF, 7, 21, 1209, Central African Republic, Central Africa, Africa
TKM, 40, 60, 584, Turkmenistan, Southern and Central Asia, Asia
MDA, 47, 29, 681, Moldova, Eastern Europe, Europe
SSD, South Sudan, Northern Africa
KGZ, 41, 75, 504, Kyrgyzstan, Southern and Central Asia, Asia
AZE, 40.5, 47.5, 1257, Azerbaijan, Middle East, Asia
PSE, 32, 35.25, 816, Palestine, Middle East, Asia
PRK, 40, 127, 463, North Korea, Eastern Asia, Asia
CZE, 49.75, 15.5, 531, Czech Republic, Eastern Europe, Europe
ERI, 15, 39, 828, Eritrea, Eastern Africa, Africa
ARM, 40, 45, 743, Armenia, Middle East, Asia
UZB, 41, 64, 440, Uzbekistan, Southern and Central Asia, Asia
PLW, 7.5, 134.5, 467, Palau, Micronesia, Oceania
VAT, 41.9, 12.45, 59, Holy See (Vatican City State), Southern Europe, Europe
MCO, 43.7333, 7.4, 351, Monaco, Western Europe, Europe
CHE, 47, 8, 208, Switzerland, Western Europe, Europe
KAZ, 48, 68, 237, Kazakstan, Southern and Central Asia, Asia
SVN, 46, 15, 385, Slovenia, Southern Europe, Europe
