ID,Name,Country,First Name,Last Name
1671,mendez,Norway,Inge,Dahl Forsmo
1672,StiG,Norway,Stig,Holmen
1673,aRCOn,Norway,Ulrik,Nordberg
1674,majority,Norway,Espen,Jacobsen
1675,ch1ckeN,Norway,Kristian,Haga Runden
1676,cuirl,Denmark,Rasmus,Holm
1677,KrS,United Kingdom,Chris,Bailhache
1678,warren,United Kingdom,Warren,McQuillan
1679,prod,Norway,Tom,Are Angelsen
1680,rikz,Norway,Simen,Stłrkersen
1681,MystiC,Norway,Alexander,Dahlslett
1682,SEALIGHT,Norway,Patrick,Dale
1683,xOL,Norway,Ingen,Hjemmeside
1684,zeun,Norway,Sebastian,de la Nuez
1685,malikz,Norway,Lennart,Hjemg̴rd
1686,dutu,Norway,Kristian,Hłlen
1687,grov,Norway,Andreas,Nilsen Grov
1688,feenix,Norway,Joachim,Osnes
1689,zECTER,Norway,Torbjłrn,Jacobsen
1690,knark,Sweden,Josef,Stark
1691,raven,Norway,William,Trulssen
1692,stephaen,Norway,Stefan,ł.
1693,boa,Norway,-,
1694,bdk,Norway,-,
1695,fubb,Norway,Ola,Ulseth
1696,avveh,Sweden,Jonas,Eriksson
1697,choni,Sweden,Jakob,Andersson
1698,zunzet,Sweden,Jonas,Gustavsson
1699,dreamen,Sweden,Christopher,Burman
1700,Isty,Sweden,Adam,Andersson
1701,SYTEX,Norway,Espen,Blaker
1702,caard,Norway,Mathias,Aronsen
1703,aspen,Sweden,Andreas,Asplund
1704,redman,Norway,Morten,Johansen
1705,hNizy,Norway,Bjłrn,Henningsen
1706,louie,Norway,Petter,Arestłl
1707,stu,Norway,Mats,Petternsen
1708,wijld thang,Norway,H̴vard,Stokke
1709,ibbi,Norway,łystein,Avila
1710,baerb,Norway,Sindre,Ohrstrand
1711,jogu,Norway,Jon,Gunnar Midtskogen
1712,CRS,Norway,Christer,Ringelien
1713,pueppii,Germany,-,
1714,EKR,Sweden,Viktor,Wejner
1715,faken,Sweden,Kristoffer,Andersson
1716,zeki,Sweden,Erik,Mattsson
1717,seAzon,Sweden,Mathias,Clausen
1718,pxr,Sweden,Niklas,Holtäng
1719,adde,Sweden,Adam,Sundl̦f
1720,ztylez,Sweden,Joakim,Petersson
1721,ogs,Sweden,Jonas,Tronstam
1722,maxos,Sweden,-,
1723,kali,Sweden,Jimmie,Ekroth
1724,jikad,Sweden,Rickard,Olsson
1725,Em,Ukraine,Anya,Sadykova
1726,nats,Ukraine,-,
1727,Nst,Ukraine,Anastasia,Vasil&apos;eva
1728,lolli,Ukraine,Maria,Soloveva
1729,soulnce,Ukraine,Sonya,Dunaevskaya
1730,KittyCat,Israel,-,
1731,LiNoR-Girl,Israel,-,
1732,TaLi-Girl,Israel,-,
1733,Vanilla,Israel,-,
1734,sn0ba,Israel,-,
1735,adulkixxx,United Kingdom,Ross,Lahou
1736,kemistry,United Kingdom,Richard,Stockdale
1737,mh,United Kingdom,Andy,Gray
1738,monkE,United Kingdom,Phil,Dale
1739,po&apos;,United Kingdom,Paul,Shackleton
1740,Vanity,Germany,Tanja,Peil
1741,Elsbeth,Slovakia,Michaela,Geäovł
1742,MiuShka,Slovakia,Michaela,Hatalovł
1743,topaska,Slovakia,Pavla,Piknovł
1744,alexxx,Serbia,Aleksandra,łurił
1745,LIn,Serbia,Lidija,Abovił
1746,Teeanna,Serbia,-,
1747,ZOE,Serbia,-,
1748,fitjfiritj,Serbia,Radmila,Manic
1749,kuukie,Sweden,-,
1750,St4RY,Sweden,Christoffer,Fjellstr̦m
1751,101,United Kingdom,Kal,Meek
1752,m1kke,United Kingdom,Mike,Paddock
1753,Murdy,Sweden,Jens,Clarberg
1754,SteveoH,United Kingdom,Steven,Reilly
1755,naggi,Sweden,Alessandro,Naghavi
1756,B0b,France,Julien,Meunier
1757,fonex,Finland,Juuso,Malvela
1758,DaneouM,United Kingdom,Daniel,Noble
1759,ka0z,United Kingdom,Carl,Mason
1760,kikki,United Kingdom,Jamie,Shepherd
1761,nGen,United Kingdom,Danilo,Drobac
1762,SHEIN,United Kingdom,Joe,Hirst
1763,ACiDBURN,Germany,Kathleen,Graff
1764,spinner,Hungary,́dłm,N̩meth
1765,XploD,Hungary,Daniel,Miskolczi
1766,bengal,Hungary,Viktor,Hudi
1767,kic$i,Hungary,Kristäf,Goda
1768,mICROVAN,Norway,Kristian,Nyborg
1769,sPINZ,Norway,-,
1770,cONDEMN,Norway,-,
1771,ims,Norway,-,
1772,beagle,Norway,-,
1773,rengo,Norway,-,
1774,pRAIER,Norway,Marcus,Winther
1775,groove,Russia,Konstantin,Pikiner
1776,KF3,Norway,łyvind,Magnestad
1777,gn2,Norway,Sindre,Holberg
1778,Warfie,Norway,Christopher,Samuelsen
1779,suiram,Norway,Marius,Bjłrkli
1780,Lobo,Norway,-,
1781,skaten,Norway,-,
1782,niel,Norway,-,
1783,vinniE,Norway,-,
1784,shyon,Belgium,Laurent,P̬re
1785,ManGa,Belgium,Maxime,Haelewyn
1786,tigyr,Bulgaria,Tsvetan,Tsvetkov
1787,sunko,Bulgaria,Ivaylo,Shurliev
1788,chi,Norway,Lars,Kalland
1789,bobathy,United Kingdom,Austin,Smith
1790,psita,Poland,Patryk,äcibior
1791,swone,Poland,Michał,äwist
1792,mientus,Poland,Michał,Zaborowski
1793,amateur,Poland,Mateusz,Witkowski
1794,syrius,Poland,Wojtek,Nowak
1795,kIRIL,Macedonia,Kiril,Ognenov
1796,daffy,Macedonia,Filip,Dimcevski
1797,KenaN,Turkey,Kenan,Bilgili
1798,elemeNt,Austria,Jan,Leitner
1799,ruy,Bulgaria,Daniel,Sazonov
1800,gcko,Czech Republic,David,Hłla
1801,Fantomas,Czech Republic,Roman,Bobłäk
1802,D^emo,Czech Republic,Lumär,Skotnica
1803,sir0ce,Serbia,Katarina,Hadzi-Manic
1804,LINDESS,Bulgaria,Ioanna,Hristova
1805,Talin,Norway,Nathalia,Bjerknes
1806,deVS,Greece,-,
1807,evRiL,Greece,Evi,Candala
1808,nirvana,Greece,Efy,Vassiliou
1809,sexperience,Greece,-,
1810,violenCe,Greece,-,
1811,Dee,Netherlands,Denice,Arendse
1812,Keisha,Netherlands,Susan,Narain
1813,Tinkerbell,Netherlands,-,
1814,MedeEa,Romania,-,
1815,anN,Germany,Ann-Christin,Wegener
1816,KittyCat,Germany,Sina,Rothe
1817,vatras,Switzerland,Burak,Yilmaz
1818,Nikooolkka_,Czech Republic,Nikola,Horovł
1819,Seriuska,Czech Republic,Michaela,Havläłkovł
1820,jance.,Czech Republic,Jana,Kozłkovł
1821,KiTTy-KaT,Belgium,Terri,Mulvey
1822,Natal1e,United Kingdom,-,
1823,Sophiaaa,United Kingdom,Sophia,Pearce
1824,dreaM,United Kingdom,Sammi,Owns
1825,princess,United Kingdom,-,
1826,Kondor,Moldova,Stanislav,Dubovoi
1827,Quasar,Moldova,Ivan,Mihaila
1828,Toxic,Moldova,Oleg,Hasanov
1829,Friza,United Kingdom,John,Reilly
1830,Shaft,France,Jordan,Allouche
1831,TAY,Denmark,Taymaz,Babaiasl
1832,krischjo,Denmark,Kristoffer,Schjo
1833,olexz,Sweden,Magnus,Callenholm
1834,evily,Sweden,Mikael,Sunna
1835,monolito,Sweden,Fredrik,Hong
1836,Bassets,Sweden,Pontus,Berg
1837,brownie,Sweden,Alexander,Browne
1838,Eliott.H,Sweden,Oscar,Țrnros
1839,bergqvist,Sweden,Jonathan,Bergqvist
1840,frostnova,Sweden,Behroz,Youssefi
1841,kylig,Sweden,Anton,Jakobsson
1842,rAdix,Sweden,-,
1843,SiLvErBaNe,Sweden,Joakim,Claesson
1844,roachZ,Netherlands,Dave,van Doorn
1845,Skire,Netherlands,Jody,van &apos;t Hul
1846,triks,Netherlands,Bart,van den Boomen
1847,keznitt,Portugal,Andr̩,Morais
1848,spin,Finland,Ari,Raimi
1849,KayaL,France,Kevin,P.
1850,Tarlund,Russia,Vladimir,Perevolotskiy
1851,koks,Russia,Kirill,Afonin
1852,ptn,Denmark,Mikkel,Słrensen
1853,ahlquist,Denmark,Kenneth,Ahlquist
1854,sonamed,Poland,Patryk,Zamulski
1855,unk,Greece,Chris,E.
1856,toddE,United Kingdom,Todd,Harris
1857,leluk,Ukraine,Aleksey,Ermakov
1858,gluchok,Ukraine,Yuriy,Yerofeyev
1859,Warlock,Ukraine,Vladislav,Merkurev
1860,Elek,Russia,Atryom,Martinyuk
1861,sypser,Russia,Alexandr,Polunin
1862,Fatal,Russia,Maksim,Kunitsin
1863,nasty,Russia,Andrey,Popov
1864,Nez,Kazakhstan,-,
1865,dastan,Kazakhstan,Dastan,Akbaev
1866,Shara,Ukraine,Oleksandr,Hordieyev
1867,hard1k,Ukraine,Oleg,Sergeychuk
1868,spaz,Belarus,Sergey,Skrypchik
1869,chooker,Belarus,Turehan,Urashev
1870,insider,Poland,Przemysław,Kłosek
1872,lkz,Poland,łukasz,Dec
1873,maxtor,Poland,Emil,Chilarczyłski
1874,nanti,Austria,Nantapong,Phooprasert
1875,delor,Netherlands,Marc,Kunst
1876,LORi c,Germany,Loreen,Liermann
1877,cR4zY,Germany,Nicole,Havixbeck
1878,Pr1nCeSS,Bulgaria,Stela,Dancheva
1879,sacron,Denmark,Jesper,Badensł
1880,casle,Denmark,Peter,Słrensen
1881,carden,Denmark,-,
1882,Garff,Denmark,Rasmus,Garff
1883,glace,Denmark,Nicolai,Jensen
1884,gGs,Denmark,Andreas,Borch Hansen
1885,letaka,Denmark,Rasmus,Holmgaard
1886,crapzn,Denmark,Simon,łrslund
1887,zagal,Denmark,Martin,Schou
1888,zypath,Denmark,Daniel,Jłrgensen
1889,LOMME,Denmark,Frederik,Nielsen
1890,Locan,Denmark,Victor,Joe
1891,fosse,Denmark,Alexander,Foersom
1892,f1STER,Denmark,Christian,Jensen
1893,xraton,Denmark,Marc,Hansen
1894,gibbo,Denmark,Ragib,Gagula
1895,patze,Denmark,-,
1896,bimmer,Denmark,Marc,Jensen
1897,wess,Denmark,Mikkel,Nielsen
1898,zeko,Denmark,Andreas,Jonsson
1899,MORSTEN,Denmark,Martin,Młller
1900,THERS,Denmark,Oliver,Thers
1901,Hitson,Denmark,Kim,Uffe Pedersen
1902,TetroN,Denmark,Martin,Kristiansen
1903,primacy,Denmark,-,
1904,cop,Denmark,Morten,Eskesen
1905,DolphiN,Denmark,Stefan,Andersen
1906,zeves,Denmark,Morten,Christensen
1907,riZa,Denmark,Riza,Patat
1908,Bazooun,Denmark,Ali,Asadi
1909,NKOCH,Denmark,Niklas,Koch
1910,Syndicate,Denmark,Peter,Klejnstrup
1911,DAKSCH,Denmark,Niklas,Jeppesen
1912,hyaluronic,Denmark,Kim,Hamstrup
1913,skelp,France,Matthieu,Onillon
1914,Rambo,United States,Ronald,Kim
1915,SEMPHIS,Canada,Kory,Friesen
1916,seang@res,United States,Sean,Gares
1917,Kluluz,United States,Dimitri,Primaky
1918,pham,United States,Ryan,Pham
1919,willsoN,United States,Tyler,Willson
1920,ScorpioN,Canada,Seth,Nagelberg
1921,medic,Canada,Tyler,James
1922,Lalonde,Canada,Nick,Lalonde
1923,n0swal,Canada,Jonathan,Lawson
1924,Tekn1kal,Canada,Halston,Bellintani
1925,a2z,Canada,Armeen,Toussi
1926,icy,United States,Andy,Keefe
1927,plexxico,United States,Alex,Palmer
1928,dsingh,United States,Dan,Singh
1929,skiM,United States,Spencer,Kim 
1930,rockyte,United States,Tarik,Elkhatib
1931,apierce,United States,Austin,Pierce
1932,Heppler,United States,Jon,Heppler
1933,happa,United States,Chris,McDonald
1934,supply,United States,Peter,Lee
1935,levy,United States,Richard,Levy
1936,bishop,Canada,Scott,Bishop
1937,qSwitch,United States,Juan,Astudillo
1938,krb,United States,George,Gonzalez
1939,brun,United States,Andrew,Levy
1940,sLip,United States,Ricky,Cohen
1941,coOop3R,United States,Jaron,Cooper
1942,t0oL,United States,Lance,McCrary
1943,ali,United States,Alice,Lew
1944,bENITA,United States,Benita,Novshadian
1945,jso,United States,Jennifer,So
1946,missharvey,Canada,Stephanie,Harvey
1947,potter,United States,Christine,Chi
1948,IpSa,Sweden,Mayra,Perez 
1949,Cura,Germany,Sinita,Berger
1950,kibaken,Russia,Anton,Kolesnikov
1951,mk,Moldova,Michael,K.
1952,arch,Moldova,-,
1953,henny,Germany,Hendrik,Kassel
1954,roman,France,Jody,Kattouche
1955,pistolero,Poland,Maciej,Maciłg
1956,al-Jazeera,Finland,Jere,Jakonen
1957,jOA,Finland,Joa,Jatala
1958,Jame^s,United States,James,O&apos;Connor
1959,PineKone,United States,Josh,Springer
1960,roflcaek,Netherlands,Sabrina,van Bommel
1961,VSR,Sweden,-,
1962,spiXo,Sweden,Naim,Nayeri
1963,VISE,Sweden,-,
1964,Twista,Finland,Slaava,Räsänen
1965,PaTyoJoN,United States,Matt,Iantosca
1966,nenna,Poland,Natalia,Piotrowska
1967,powerka,Poland,Eliza,Szczepaniak
1968,ImbaLine,Norway,Line,Vestbye
1969,charlie,Poland,Magdalena,Buczyłska
1970,bieke,Belgium,Bieke,Nijs
1971,Xenake,Belgium,Hade,Demoor
1972,Lapinette,Belgium,Vidj̩a,Sauvage
1973,VerO,Belgium,V̩ronique,Guyot
1974,Chloe,France,Chlo̩,Riemer
1975,IvY,France,Amanda,Charbonnel
1976,Vildkatten,Denmark,Anja,Młller
1977,NissePigen,Denmark,Marie-Louise,Eisenhardt
1978,eliza,Denmark,Elizabeth,Brokhage
1979,sANDiE,Denmark,Sandy,Erichsen
1980,sh1ny,Denmark,Ea,Thor
1981,Al3GRIA_sA,Spain,Ingrid,Rebollo
1982,Aidy,Spain,Aida,Garcia
1983,terina,Spain,-,
1984,Stars,Denmark,Lianna,Grłnhłj Borup
1985,fungbi,Hong Kong,Kwun-Fung,Lau
1986,aumei,Hong Kong,Siu-Yin,Cheng
1987,perhaps,Hong Kong,Kwan-Yeung,Tam
1988,pixl,Hong Kong,Kwong-Fai,Li
1989,protege,Hong Kong,Wai-Lun,Wong
1990,ChoGo,Georgia,David,Chogovadze
1991,Ramashka,Georgia,Gocha,Gabunia
1992,Billy,Georgia,Karlo,Javakhadze
1993,freak,Georgia,Mikheil,Meladze
1994,rAtty,Georgia,Rati,Tskhvediashvili
1995,HeaveN,Serbia,Dejan,Vekecki
1996,HiGh,Serbia,Stefan,Golubovił
1997,simcore,New Zealand,Byron,McLean
1998,infidel,New Zealand,Bruce,Lodge
1999,evolution,New Zealand,Feroz,Brouwer
2000,n1ck,New Zealand,Nicholas,Shaw
2001,rapture1e,New Zealand,Nathan,Holden
2002,squall,Singapore,Toh,Ghim
2003,insanity,Singapore,Daryl,Chua
2004,vendetta,Singapore,Lim-Jing,Jie
2005,amennn,Singapore,Mark,Low
2006,pupajoN,Australia,Otis,Duncan
2007,ap0c,Australia,Mike,Aliferis
2008,Rumil,Australia,Emir,Keser
2009,Soren,Australia,Soren,Larssen
2010,rBKE,Australia,Rory,Burke
2011,Fer,Indonesia,Ferdinand,Putra
2012,gray,Indonesia,Grayson,Sumarlin
2013,nicz,Indonesia,Indra,Tay
2014,ijaL,Indonesia,Rizal,Ardi Patanroi
2015,pwjrN,Indonesia,Paulus,Wijaya Ngan
2016,ele1Nt,Canada,Brennan,Webster
2017,phz5,Canada,Jamie,Cross
2018,XntRic,Bangladesh,Tushar,Khan
2019,Funeral_masK,Bangladesh,Mehdee,Talukder
2020,Toky,Bangladesh,Jamal,Mostafa
2021,M3ssi,Bangladesh,Sharif,Nazir
2022,r3d,Bangladesh,Imran,Meah
2023,FalleN,Brazil,Gabriel,Toledo
2024,WaR,Greece,Eleftherios,Patsatzis
2025,HACKER,Greece,Thanasis,Stamoulis
2026,ornatE,Greece,Minas,Theodosakis
2027,HannibaL,Greece,Dimitris,Mitzas
2028,perez,United States,Daniel,Perez
2029,mkpro,United States,Michael,Rogers
2030,berra,Sweden,Erik,Bergqvist
2031,wenton,Sweden,John,Eriksson
2032,kojz,Sweden,-,
2033,kazien,Sweden,Samuel,Risberg
2034,Nevb,Sweden,Michael,Lundqvist
2035,exey,Sweden,Stefan,Marklund
2036,purityy,Denmark,Jesper,Larsen
2037,Flex0r,Belgium,Michiel,Singh
2038,deEah,Romania,Andreea,Serbanescu
2039,Dominica,Czech Republic,Dominica,Luzarovł
2040,GODDESS,Bulgaria,-,
2041,oa,Korea,Ji-Hoon,Park
2042,Yunsung,India,Shaan,Narayanan
2043,Bufu,India,Cholaraj,Gunasekaran
2044,f0rgotten,India,Bharath,Sukumar
2045,Relik,India,Karthik,Vijayakumar
2046,Voltron,India,Aneesh,Vasanthkumar Devasundaram
2047,frgd,Indonesia,Richard,Permana
2048,newrage,Indonesia,Christian,Lie
2049,Nextwins,Indonesia,Edwin,Nextwins
2050,silentdeath,Indonesia,Yulius,Jacks
2051,Hazard,Indonesia,Jonathan,Armanda
2052,Mag1x,India,Bhavesh,Nachnani
2053,ViPeR,India,Karan,Thadaney
2054,RiX,India,Aakash,More
2055,VicKy,India,Vikrant,Shah
2056,Seik3tSu,India,Harsh,Kanani
2057,MeGaTroN,Pakistan,M.,Umar Nawaz
2058,aRsEnIcK,Pakistan,Hussain,Mirza
2059,roObin,Pakistan,M.,Umar Sajjad
2060,wazZuP,Pakistan,M.,Awais Saeed
2061,Carnage,Pakistan,Yousaf,Masud
2062,rICo,Azerbaijan,Rauf,Guseynov
2063,GT_CrAzY_TuR,Azerbaijan,Tural,Gadirli
2064,iNf1,Azerbaijan,Vasif,Guliyev
2065,daBuGi,Azerbaijan,Farhad,Abdullayev
2066,Archiello,Azerbaijan,Kamal,Abdukadirov
2067,SERGG,Belarus,Sergey,Goychik
2068,FORGiVEN,Greece,Konstantinos,Tzortziou
2069,Hatred,Greece,Giorgos,Tzortziou
2070,fronimos,Greece,Nikolaos,Karakoutis
2071,Mao,Greece,Alexandros,Kovis
2072,invincible,Bulgaria,Iordan,Slavov
2073,ArmyMan,Bulgaria,Hasan,Hyusein
2074,s100qn,Bulgaria,Stoyan,Grudov
2075,burtoN,Bulgaria,Georgi,Georgiev
2076,justinSane,Romania,Trasca,Silviu
2077,PusE,Romania,Alexandru,Popescu
2078,MaFy,Romania,Cosmin,Stoica
2079,juventus,Romania,Petre,Serban
2080,gorenje,Greece,John,Plitharas
2081,averol,Greece,Thanos,Poularakis
2082,skiner,Greece,Xenofon,Grigoriadis
2083,thehawk,Greece,Panos,Kalfenberg
2084,novice,Greece,Mike,Darmanis
2085,ALEEX,Germany,Alexander,Jugl
2086,Velo,France,-,
2087,Sight,Sweden,-,
2088,bsw,United States,John,Gloggner
2089,Pandora,Denmark,Tina,Andersen
2090,Shira,Spain,Eukene,Ramirez
2091,iTniK,France,Maxime,Harel
2092,Tryo,France,Jeff,Faber
2093,KRAM,France,Thomas,Fournier
2094,aNtho,France,Anthony,Lannoy
2095,iNsa,France,Patrick,Thaurin
2096,tomsku,Finland,Roope,Simpanen
2097,dDd,Netherlands,Daniłl,Dougle
2098,Metalx,Netherlands,Tom,Latour
2099,myxo,Netherlands,Jeroen,Wilms
2100,tiwih,Norway,Linus,Hviid Knudsen
2101,SpanjackeN,Sweden,Tim,Thysell
2102,Percian,Sweden,Ramin,Navaei
2103,vajan,Sweden,-,
2104,MKA,Sweden,Dave,
2105,sobek,Sweden,Adam,Larsson
2106,exhale,Sweden,Filip,Melchiorsen
2107,hyrule,Sweden,Fredrik,Nilsson
2108,r9bban,Sweden,Robert,Andersson
2109,bsr,Sweden,Josef,Johansson
2110,OmeN,Norway,Martin,Moskvil
2111,robsix,Sweden,Robert,Lindqwist
2112,bossmann,Netherlands,Oualid,El Massoudi
2113,gax,Portugal,Joel,Meira
2114,xiaoe,China,Ye,Xue
2115,KYESAR,United Kingdom,Kye,Moule
2116,AMPED,United Kingdom,Andrew,Petchey
2117,Stat,United Kingdom,Stevie,Szabo
2118,CARLCAINE,United Kingdom,Carl,Paisley
2119,Jonny,United Kingdom,Jonathan,Podd
2120,Fexy,United Kingdom,David,Goodman
2121,nokz,Austria,Ralph,Quidet
2122,cpr,United Kingdom,Steve,Cooper
2123,RattlesnK,United Kingdom,Sam,Gawn
2124,TaTke,Bosnia and Herzegovina,Lazar,Tatomirov
2125,Dejan J.,Serbia,Dejan,Joviłił
2126,stepa,Serbia,Milos,Stepancevic
2127,Sykon,Bosnia and Herzegovina,Josip,Ivkił
2128,Cage,Bosnia and Herzegovina,Mirza,Huseinovic
2129,Penguin,Ukraine,Bogdan,Marchenko
2130,xikii,Spain,Victor,Garcäa
2131,bondik,Ukraine,Vladyslav,Nechyporchuk
2132,NaNy,Spain,Daniel,Martinez
2133,hazard,Lithuania,Ignas,Tarvydas
2134,duf,Lithuania,Kłstutis,Vaiłvilas
2135,qck,Lithuania,Manvydas,Statauskas
2136,the_mark,Lithuania,Mangridas,Jakłtas
2137,kDj,France,Romain,Lopez
2138,maLou,France,Alexandre,Male
2139,aNd11,Denmark,Andreas,Petersen
2140,Profminas,Denmark,Rasmus,Bielefeldt
2141,sth,Denmark,Steffan,Tarp
2142,hito,Denmark,Kristian,Jensen
2143,alp,Denmark,Allan,Lund
2144,hub b,Poland,Hubert,Maksimczuk
2145,coder,Poland,Adam,Kotowski
2146,aCme,Poland,łukasz,Grzegorz
2147,gs,Poland,Jakub,Franczuk
2148,tahsiN,Germany,Tahsin,Broschk
2149,ROMSTAR,United States,Roman,Holder
2150,tfy,Germany,Enrico,Martens
2151,xavi,Germany,Bernhard,Aigner
2152,manw,Sweden,Jonas,Elouaer
2153,funqy,Sweden,Marcus,Lindblad
2154,hally,Russia,Sergey,Shavaev
2155,crZy,Denmark,Sune,Hansen
2156,dt,Denmark,Jan-Nick,Andersen
2157,Zote,Argentina,Juliłn,Acosta
2158,Sebaxinho,Argentina,Sebastiłn,Antepara
2159,mvk,Argentina,Juan,Manuel Argogliosi
2160,Relik,Argentina,Juan,Gomez
2161,Noktse,Argentina,Nicolłs,Dłvila
2162,H^N,Finland,Hannu,Pohjalainen
2163,MulleN,Finland,Lassi,Nurmio
2164,SAP,France,Thomas,Lejeune
2165,wipseN,Germany,Marcel,Wipperfärth
2166,GoSu,United States,Brian,Longhofer
2167,punkvillE,United States,Josh,Dacus
2168,coolahaNx,United States,Kyle,Coolahan
2169,chrispiiiii,United States,Chris,Savage
2170,patt1s,United States,Adam,Paterson
2171,beachnut,Canada,Ryan,Beach
2172,swiN,Canada,Ryan,Zerg
2173,Flicker,United States,Alex,Gross
2174,HandleD,United States,Nick,Pathe
2175,khayes,United States,Kevin,Hayes
2176,seraphic,United States,Travis,Defusco
2177,lancer,United States,Jordan,Anderson
2178,Hightower,United States,Jeff,Hightower
2179,peachie,United States,CJ,Spilewski
2180,joh,Canada,Joanik,Rochon
2181,GrizzLy,United States,Armon,Khodadadi
2182,phrozen,United States,Dara,Nhep
2183,pren,Canada,Lołc,Sauvageau
2184,Jago,United States,Adam,Nawab
2185,thr!ce,United States,Ryan,Tomlin
2186,thetoy,United States,Jason,Brownlee
2187,tigerz,United States,Zach,Vogel
2188,pAUii^8,United States,Jesse,Giambatista
2189,bEEOiv^8,United States,Bill,Hoeninger IV
2190,rillaz,United States,Christopher,Ramjohn
2191,newbits,United States,Daniel,Cash
2192,Han,United States,James,Han
2193,JMZ,United States,James,Perez
2194,kleppy,United States,Jacob,Ott
2195,kthx,United States,Jonathan,Davin
2196,hasse,United States,Chris,Harris
2197,fgdtc,United States,Dru,Alzona
2198,Tackett,United States,Kyle,Tackett
2199,summit,United States,Jaryd,Lazar
2200,scoutz,United States,Mark,Herrero
2201,m4v3r1ck,United States,Alex,Wilkins
2202,alm0st,United States,Jessie,Kirby
2203,smoke-,United States,Anthony,Price
2204,retto,United States,Mark,Cioffi
2205,sh1ft,United States,Justin,McLellan
2206,sbe,United States,Scott,Beaty
2207,RegulatoR,United States,Aaron,Bourne
2208,rax,United States,Cameron,Hatzmann
2209,noki,United States,Derek,Jacob
2210,pfeifer,United States,Justin,Pfeifer
2211,tMn,United States,Tyler,Newstrom
2212,darkstarrr,United States,Jon,Gersdorf
2213,SecretAgent,Mexico,Jose,Fernandez
2214,kaotic,United States,Eric,McCown
2215,HeLLeN_KeLLeR,United States,Travis,Osborne
2217,bN,Canada,Arjun,Gill
2218,sfX,United States,Jasper,Ko
2219,quick,United States,Aurele,Hebert
2220,odt,United States,Nick,Frank
2221,Decko,United States,Jake,Muse
2222,brightZ,United States,Alex,Sanders
2223,Wojk,United States,Lucas,Wojcik
2224,e-mach,United States,Brandon,White
2225,MuMiX,United States,Daniel,Mott
2226,Dorsey,United States,Kolby,Dorsey
2227,tree,United States,Bryce,Standridge
2228,mKy24,United States,Michael,Saenz
2229,injEK-,United States,Jorge,Terceros
2230,raym0,United States,Jose,Ramos
2231,cale,United States,Alex,Maxwell
2232,swT,United States,Steven,Tolbert
2233,TRAG,United States,Josh,Gartner
2234,jett,United States,Ian,Walton
2235,Batistuta,Brazil,Juliano,Corr̻a
2236,mkr,Brazil,Gustavo,Mekaru
2237,AIm,Portugal,Ricardo,Almeida
2238,n0rx,Portugal,Młrio,Pacheco
2239,spekz,Portugal,Gon̤alo,Monteiro
2240,vsk,Portugal,Vasco,Santos
2241,rmn,Portugal,Ricardo,Oliveira
2242,LOBO,Portugal,Tiago,Fontes
2243,oDEith,Portugal,Flłvio,Antunes
2244,Ririo,Portugal,Diogo,Aguiar
2245,vity,Spain,Victor,Medina
2246,v1Tu,Spain,Victor,Blanco P̩rez
2247,fumAx,Spain,Aitor,P̩rez
2248,shk,Spain,Mario,Milan
2249,hector,Spain,Hector,Garcia Mu̱oz
2250,weyS,Spain,Francisco,Nu̱ez Leon
2251,peLusA,Spain,Edgar,Sanz Lopez
2252,Cowboy,Spain,Miguel,Redondo Gaztelu
2253,SnOOpS,France,Franck,Rieup
2254,ZaN,France,Raphael,Rieup
2255,zeM,France,Michael,Caprais
2256,JaMYrs,France,Pierrem,Haudry
2257,SnK,France,Thomas,Haudry
2258,pEp,Portugal,Pedro,Barbosa
2259,HUMANS,Portugal,Pedro,Silva
2260,RIZZZ,Portugal,Rui,Lima
2261,SMAKER,Portugal,Antänio,Gomes
2262,hldr,Portugal,H̩lder,Nunes
2263,bife,Portugal,Marco,Pereira
2264,xAims,Portugal,Carlos,Marques
2265,NIOU,Portugal,Vasco,Vas
2266,CourR,Portugal,Rui,Batista
2267,ryad,France,Ryad,Abour
2268,snktmc,Portugal,Marcos,Rodrigues
2269,FuNNy,Spain,-,
2270,green,Spain,Jose,Green
2271,pEsHkyY,Bulgaria,Peter,Trenchev
2272,pulgaR,Spain,-,
2273,SiTy,Spain,-,
2274,kileruu$,Spain,-,
2275,flow,Spain,-,
2276,iio,Spain,-,
2277,SquaLL,France,-,
2278,Acrow,France,-,
2279,space,China,Huang,Xiaotian
2280,enter,China,Che,Lei
2281,bigun,China,Hou,Hao
2282,aska,China,Wang,Xi
2283,xpy,China,Zhao,Xiaoyu
2284,ryk,China,LiKan,Luo
2285,muziwei,China,Wei,Li
2286,theresa,China,Liu, Chaoqun
2287,Buu,China,Ding,Xing
2288,9.23,China,Tong,Tong
2289,Twins,China,Wang,Yi
2290,foaiwo,China,Wang,Li
2291,RB,China,Bin,Xu
2292,forget,China,Lei,Li
2293,atmo,China,Fu,Qiang
2294,caqT,Finland,Rami,Valve
2295,FOOZE,Finland,Rolf,Frid
2296,tErppa,Finland,Henri,Väyrynen
2297,JukkaN,Finland,Jukka,Hopeavuori
2298,frieze,Finland,Jarno,Lindholm
2299,NENO,Macedonia,Anel,Cekovił
2300,sTek,Uzbekistan,Nosirjon,Askarov
2301,speezi,Uzbekistan,Mashhurbek,Hamidov
2302,sprut,Uzbekistan,Azizbek,Tadjibaev
2303,mopstr,Germany,Rick,Hahn
